Country,City_ID,Population
SD,371760,345068
SD,371870,19593
SD,372386,26233
SD,372753,401477
SD,373141,87666
SS,373303,300000
SS,374739,38572
SS,375495,49000
SD,376332,19821
SD,376450,37113
SD,377039,489725
SS,377241,26782
SD,377690,22395
SD,377724,16969
SD,378231,107930
SD,378271,33524
SD,378459,28862
SD,378493,26273
SD,378699,108008
SD,379003,393311
SD,379014,18321
SD,379102,19997
SD,379149,128297
SD,379252,1974647
SD,379303,162981
SD,379406,17345
SD,379416,24513
SD,379427,28735
SD,379555,252609
SD,379630,19141
SD,380129,87068
SD,380151,15144
SD,380173,103941
SD,380174,186051
SD,380348,15304
SD,380757,21790
KE,383388,15354
BH,385038,79550
KW,387958,40945
KW,388065,36447
IQ,388349,2015483
GR,400666,56128
SO,400769,60100
IR,406993,36709
EG,411165,166102
OM,411849,16599
